Address,Name,Size,Length,SCR,Description,Category,Docs
00665AC0,Sprites.dat - Selection Circle,1,387,Read Only,Images.dat reference starting at index 561. Starts on spri...,Client,Render
00665C48,Sprites.dat - Visible,1,517,Simple Data,,Client,Render
00665E50,Sprites.dat - HP Bar Length,1,387,Read Only,Starts on Sprites.dat ID 130.,Client,Render
00665FD8,Sprites.dat - Selection Vertical Offset,1,387,Read Only,Starts on Sprites.dat ID 130.,Client,Render
00666160,Sprites.dat - Image Index,2,517,Backed By Code,Images.dat index,Client,Render
00666570,Sprites.dat - Unknown,1,517,Simple Data,Unknown flag.,Client,Render
00666778,Images.dat - Landing Dust Overlay,4,999,Read Only,images.tbl lo? index,Client,Render
00667718,Images.dat - Draw If Cloaked,1,999,Simple Data,,Client,Render
00667B00,Images.dat - Special Overlay,4,999,Read Only,Images.tbl lo? index,Client,Render
00668AA0,Images.dat - GRP File,4,999,Read Only,Images.tbl grp index,Client,Render
00669A40,Images.dat - Drawing Function,1,999,Simple Data,Ignored by SC:R?  If Drawing Function is 9: 0 = No remap...,Client,Render
00669E28,Images.dat - Remapping Table,1,999,Backed By Code,0 - normal 1 - doesn't draw hallucination 2 - non-vi...,Client,Render
0066A210,Images.dat - Damage Overlay,4,999,Read Only,Images.tbl lof pointer,Client,Render
0066B1B0,Images.dat - Attack Overlay,4,999,Read Only,images.dat lo? index,Client,Render
0066C150,Images.dat - Clickable,1,999,Simple Data,,Client,Render
0066C538,Images.dat - Sheilds Overlay,4,999,Read Only,None = 0 Small = 133 Medium = 2 Large = 184,Client,Render
0066D4D8,Images.dat - Use Full Iscript,1,999,Simple Data,,Client,Render
0066D8C0,Images.dat - Lift-off Dust Overlay,4,999,Read Only,images.tbl lod index,Client,Render
0066E860,Images.dat - Graphics Turns,1,999,Simple Data,,Client,Render
0066EC48,Images.dat - Iscript ID,4,999,Backed By Code,Iscript.bin ID,Client,Render
0068C104,AIScript pointer,4,1,Backed By Code,,Engine,Pointer
0068C108,BWScript pointer,4,1,Backed By Code,,Engine,Pointer
0068C144,Send Message Type,4,1,Simple Data,Can be used to check if send message box is open (At Least ...,Client,UI
0068C14C,Current Button Set,4,1,Simple Data,The button set ID of the currently selected single unit. Th...,Client,UI
0068C1F4,TranWire.grp pointer,4,1,Backed By Code,Overwriting a particular unit's frame offset with a di...,Client,Render
0068C1FC,GrpWire.grp Pointer,4,1,Backed By Code,Overwriting a particular unit's frame offset with a di...,Client,Render
0068C204,Wirefram.grp Pointer,4,1,Backed By Code,Overwriting a particular unit's frame offset with a di...,Client,Render
0068C448,Sfxdata.dat - minVolume,1,1144,,Unknown 4,Engine,Struct
0068C8C0,Sfxdata.dat - Flags,1,1144,,Value is some combination of: - 1 preload - 2 unitSpeech ...,Engine,Struct
0068CD38,Sfxdata.dat - lengthAdjust,2,1144,,Unknown 3,Engine,Struct
0068D628,Sfxdata.dat - Priority,1,1144,,Unknown 1,Engine,Struct
0068DAA0,Sfxdata.dat - Sound file,4,1144,,Direct pointer to SFXData.tbl string. This can be changed a...,Engine,Struct
006C9858,Flingy.dat - Movement Control,1,209,Simple Data,"0 = Flingy.dat Control 1 = Partially Mobile, Weapon 2 = I...",Client,Render
006C9930,Flingy.dat - Halt Distance,4,209,Simple Data,Measured in pixels*256,Client,Render
006C9C78,Flingy.dat - Acceleration,2,209,Simple Data,Measured in pixels-per-frame.,Client,Render
006C9E20,Flingy.dat - Turn Radius,1,209,Simple Data,,Client,Render
006C9EF8,Flingy.dat - Top Speed,4,209,Simple Data,"Measured in pixels-per-frame, but written as ""Speed*(3...",Client,Render
006CA240,Flingy.dat - Unused,1,209,Simple Data,Unused in DatEdit,Client,Render
006CA318,Flingy.dat - Sprite Index,2,209,Simple Data,Sprites.dat index,Client,Render
006CA94D,Displayed HP,4,1,,The current HP of the selected unit.,Client,UI
006CA9F0,Unit being Produced,4,1,Unsupported,Set value to 1 to detect any unit currently being trained o...,Client,UI
006CDDC0,Mouse Button State,4,1,Simple Data,2: Left button pressed. 8: Right button pressed. 32: Middle...,Client,Input
006CDDC4,Mouse Coordinate X,4,1,Simple Data,Relative to the screen.,Client,Input
006CDDC8,Mouse Coordinate Y,4,1,Simple Data,Relative to the screen.,Client,Input
006CDFD4,Game Speed,4,1,Backed By Code,The current game speed. The values are as follows:  0 = S...,Game,Time
006CDFE0,Music Volume,4,1,Backed By Code,0-100 for music volume Note: SC:R no longer uses this add...,Client,UI
006CDFE4,Digital Volume,4,1,Backed By Code,0-100 for sound volume Note: SC:R no longer uses this add...,Client,UI
006D0C68,Creep Tile Backup Buffer,4,1,Unsupported,Pointer to the u16 buffer that stores the tile IDs of tiles...,Game,Map
006D0C6C,Tile Buffer Height,4,1,Unsupported,Copy of Map Height?,Game,Map
006D0C70,Tile Function Pointers,4,4,Unsupported,0x006D0C70 -> 0x0047E2D0 -- refreshes map tiles for draw...,Engine,Pointer
006D0E80,Creep Overlay Buffer,4,1,Unsupported,Pointer to u8 flags relating to the creep overlay for each ...,Game,Map
006D0E84,Active Tile Buffer,4,1,Unsupported,Pointer to u16 array of active map tiles.,Game,Map
006D0F08,Tile Buffer Width,4,1,Unsupported,Copy of Map Width,Game,Map
006D0F30,Replay Header,633,1,Read Only,https://github.com/bwapi/bwapi/blob/master/bwapi/BWAPI/Sour...,Game,Event
006D0F30,Replay Header - Is Broodwar,1,1,Read Only,,Game,Event
006D0F31,Replay Header - Frame Count,4,1,Read Only,,Game,Event
006D0F35,Replay Header - Campaign ID,2,1,Read Only,,Game,Event
006D0F37,Replay Header - Command ID,1,1,Read Only,struct gameSeed,Game,Event
006D0F38,Replay Header - Rand Seed,4,1,Read Only,struct gameSeed. Unix time on game start.(The number of sec...,Game,Event
006D0F3C,Replay Header - Player Bytes,1,8,Read Only,struct gameSeed,Game,Event
006D0F44,Replay Header - Unknown_0,4,1,Read Only,struct networkGameHeader,Game,Event
006D0F48,?�험,25,1,Read Only,?�험,Engine,Unknown
006D0F60,Replay Header - Game flags,4,1,Read Only,struct networkGameHeader,Game,Event
006D0F64,Replay Header - MapSize,2,2,Read Only,2Byte MapWidth 2Byte MapHeight  struct networkGameHeader,Game,Event
006D0F68,Replay Header - Active Player Count,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F69,Replay Header - Available Slots,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F6A,Replay Header - Game Speed,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F6B,Replay Header - Game State,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F6C,Replay Header - Game Type,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F6D,Replay Header - Unknown_1,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F6E,Replay Header - Game Subtype,2,1,Read Only,struct networkGameHeader,Game,Event
006D0F70,Replay Header - Seed (Unused),4,1,Read Only,struct networkGameHeader,Game,Event
006D0F74,Replay Header - Tileset,2,1,Read Only,struct networkGameHeader,Game,Event
006D0F76,Replay Header - Autosaved,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F77,Replay Header- Computer Player Count,1,1,Read Only,struct networkGameHeader,Game,Event
006D0F78,Replay Header - Game Name,1,25,Read Only,struct networkGameHeader,Game,Event
006D0F91,Replay Header - Map Name,1,24,Read Only,struct networkGameHeader,Game,Event
006D0FB1,Replay Header - Game Type,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FB2,Replay Header - Unknown,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FB3,Replay Header - Subtype,2,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FB5,Replay Header - Subtype display,2,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FB7,Replay Header - Subtype Label,2,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FB9,Replay Header - Victory Condition,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FBA,Replay Header - Resource Type,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FBB,Replay Header - Use Standard Units,1,1,Read Only,boolean  struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FBC,Replay Header - Fog of War (Unused),1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FBD,Replay Header - Starting Units,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FBE,Replay Header - Use Fixed Positions,1,1,Read Only,boolean  struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FBF,Replay Header - Usage Restriction Flags,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FC0,Replay Header - Allies Allowed,1,1,Read Only,boolean  struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FC1,Replay Header - Teams,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FC2,Replay Header - Cheats,1,1,Read Only,boolean  struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FC3,Replay Header - Tournament Mode,1,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FC4,Replay Header - Victory Condition Value,4,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FC8,Replay Header - Resources Value,4,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FCC,Replay Header - Unused value,4,1,Read Only,struct networkGameHeader.gameTemplateInfo,Game,Event
006D0FD0,Replay Header - Extra,1,1,Read Only,f,Game,Event
006D0FD1,Replay Header - Player Entries,36,12,Read Only,Unfortunately this struct is not dword-aligned.  +0 - u32...,Game,Event
006D1181,Replay Header - Player Colors,4,8,Read Only,,Game,Event
006D11A1,Replay Header - Player Force Data,1,8,Read Only,,Game,Event
006D1200,iscript.bin pointer,4,1,Backed By Code,,Engine,Memory
006D1238,stat_txt.tbl pointer,4,1,Backed By Code,,Engine,Memory
006D1260,Tile Flags Pointer,4,1,Backed By Code,Pointer to (Map Width)x(Map Height) array of u32 flags: 0x...,Game,Map
006D5A6C,Cheat Flags,4,1,Simple Data,"Setting cheat flags will work in multiplayer games, but may...",Game,Rule
006D5BB0,Music ID,4,1,,Change this value and toggle music and it will play a diffe...,Client,UI
006D5BBE,Minimap State,4,1,Unsupported (Ȯ�� ���),"Minimap State - Pressing Tab, Shift+tab changes this 0x00 ...",Client,Selection
006D5EC8,CV5 Pointer,4,1,Backed By Code,,Game,Map
1505E670,Storm Graphics Palette,4,256,Read Only,,Client,Render
19046138,Battle.snp Join Channel,4,1,Simple Data,,Game,Event
1904613C,Battle.snp Join Channel,4,1,Simple Data,,Game,Event
