Address,Name,Size,Length,SCR,Description,Category,Docs
0059CDD1,CUnit - Acid Spore 3/9,1,1,Unsupported,Timer for 3rd of 9 acid spores applied to a unit (*256)  ...,CUnit,Combat
0059CDD2,CUnit - Acid Spore 4/9,1,1,Unsupported,Timer for 4th of 9 acid spores applied to a unit (*65536) ...,CUnit,Combat
0059CDD3,CUnit - Acid Spore 5/9,1,1,Unsupported,Timer for 5th of 9 acid spores applied to a unit (*16777216...,CUnit,Combat
0059CDD4,CUnit - Acid Spore 6/9,1,1,Unsupported,Timer for 6th of 9 acid spores applied to a unit  Refer t...,CUnit,Combat
0059CDD5,CUnit - Acid Spore 7/9,1,1,Unsupported,Timer for 7th of 9 acid spores applied to a unit (*256)  ...,CUnit,Combat
0059CDD6,CUnit - Acid Spore 8/9,1,1,Unsupported,Timer for 8th of 9 acid spores applied to a unit (*65536) ...,CUnit,Combat
0059CDD7,CUnit - Acid Spore 9/9,1,1,Unsupported,Timer for 9th of 9 acid spores applied to a unit (*16777216...,CUnit,Combat
0059CDD8,CUnit - Bullet Behavior 3x3 Attack,2,1,,(Unsupported?)  Counts up for the number of bullets shot ...,CUnit,Combat
0059CDDC,CUnit - AI Data,4,1,,(Unsupported?)  Pointer to AI class,CUnit,State
0059CDE0,Emp Shockwave Missiles (???),4,1,,The total amount of missiles from *all science vessel that ...,Combat,Effect
0059CDE0,CUnit - Air Strength,2,1,Unsupported,,CUnit,Combat
0059CDE2,CUnit - Ground Strength,2,1,Unsupported,,CUnit,Combat
0059CDE4,CUnit - Unit Finder,4,4,,(Unsupported?)  PID+0 left PID+1 right PID+2 top PID+3...,CUnit,Move
0059CDF4,CUnit - Repulse Unknown,1,1,Supported,,CUnit,Move
0059CDF5,CUnit - Repulse Angle,1,1,Supported,Updated when the air unit is being pushed (*256). Need more...,CUnit,Move
0059CDF6,CUnit - Drift X,1,1,Supported,For air units when they're pushed (*65536) on X-axis. ...,CUnit,Move
0059CDF7,CUnit - Drift Y,1,1,Supported,For air units when they're pushed (*16777216) on Y-axi...,CUnit,Move
0059D568,SC Upgrade in Progress Lvl 3 (???),1,72,,Who knows,Player,Upgrade
006283F0,usedUnitCount,4,1,Read Only,CUnit occupancy,Engine,Memory
